,Unnamed: 0,user,timestamp,tweet_text,tweet_sentiment,link,included_symbols,bitcoin Returns,doge Returns,tesla Returns,google Returns,apple Returns,p_change
57,57,elonmusk,1619272465,What does the future hodl?,0.0,twitter.com/elonmusk/status/1385879790381641728,,0,0,0,0,0,-1
58,58,elonmusk,1619272408,"RT @RealLifeStarman: “We need to have a big permanently occupied base on the moon, and then build a city on Mars and become a spacefaring c…",0.0,twitter.com/elonmusk/status/1385879551008559109,,0,0,0,0,0,-1
59,59,elonmusk,1619206692,@OwenSparks_ @PPathole Absolutely!,0.0,twitter.com/elonmusk/status/1385603921121533954,,0,0,0,0,0,-1
60,60,elonmusk,1619205821,@PPathole This is the essence of my philosophy,0.0,twitter.com/elonmusk/status/1385600268620939265,,0,0,0,0,0,-1
61,61,elonmusk,1619205486,@SciGuySpace This is important,0.2023,twitter.com/elonmusk/status/1385598863399129090,,0,0,0,0,0,-1
62,62,elonmusk,1619204818,@lexfridman Yup,0.0,twitter.com/elonmusk/status/1385596061922779140,,0,0,0,0,0,-1
63,63,elonmusk,1619195300,RT @SpaceX: Dragon has separated from Falcon 9’s second stage and is on its way to the @space_station! Autonomous docking tomorrow at ~5:10…,0.0,twitter.com/elonmusk/status/1385556138561875970,,0,0,0,0,0,-1
64,64,elonmusk,1619189238,2 mins to launch https://t.co/q9nXKRrXpw,0.0,twitter.com/elonmusk/status/1385530714662133763,,0,0,0,0,0,-1
65,65,elonmusk,1619183621,Astronauts preparing to launch to @Space_Station https://t.co/WBkaDZexEc,0.0,twitter.com/elonmusk/status/1385507154531074048,,0,0,0,0,0,-1
66,66,elonmusk,1619149822,@JiriThunderDome Yeah,0.296,twitter.com/elonmusk/status/1385365390465937413,,0,0,0,0,0,-1
67,67,elonmusk,1619148332,@ICannot_Enough Haha true,0.7003,twitter.com/elonmusk/status/1385359141053546496,,0,0,0,0,0,-1
68,68,elonmusk,1619144062,RT @xprize: Elon Musk and Peter Diamandis LIVE on $100M XPRIZE Carbon Removal https://t.co/M2ruxS0Zxt,0.0,twitter.com/elonmusk/status/1385341229706190854,,0,0,0,0,0,-1
69,69,elonmusk,1619143064,🌍🌎🌏 Happy Earth Day 🌍🌎🌏,0.5719,twitter.com/elonmusk/status/1385337043618836480,,0,0,0,0,0,-1
70,70,elonmusk,1619142750,@hnshah Haha,0.4588,twitter.com/elonmusk/status/1385335728801001472,,0,0,0,0,0,-1
71,71,elonmusk,1619142653,@jhall 🤣🤣,0.0,twitter.com/elonmusk/status/1385335321370431488,,0,0,0,0,0,-1
72,72,elonmusk,1619140872,RT @SpaceX: All systems and weather are looking good for Falcon 9’s launch of Dragon with four astronauts on board. Webcast will go live to…,0.4404,twitter.com/elonmusk/status/1385327849297612802,,0,0,0,0,0,-1
73,73,elonmusk,1619140850,"@AstroJordy I’m staying at a friend’s place in Florida that is 85% powered by Tesla Solar Roof + Powerwall. 

When… https://t.co/5qtJec95aY",0.0,twitter.com/elonmusk/status/1385327759665270788,73.0,0,0,0,0,0,-1
74,74,elonmusk,1619112695,@28delayslater Does seem a little weird,-0.1045,twitter.com/elonmusk/status/1385209666909659140,,0,0,0,0,0,-1
75,75,elonmusk,1619089553,@OwenSparks_ @AstroJordy @neuralink 🤣,0.0,twitter.com/elonmusk/status/1385112605014908933,,0,0,0,0,0,-1
76,76,elonmusk,1619089323,"@JohnnaCrider1 @WholeMarsBlog If Tesla owners are “conspiracy theorists”, then it would be fair to call them “adver… https://t.co/GadN1Gg1un",0.3182,twitter.com/elonmusk/status/1385111636810240002,76.0,0,0,0,0,0,-1
77,77,elonmusk,1619088557,Tesla Solar + Powerwall battery enables consumers to be their own utility,0.0,twitter.com/elonmusk/status/1385108424761872387,77.0,0,0,0,0,0,-1
78,78,elonmusk,1619088426,@jack True,0.4215,twitter.com/elonmusk/status/1385107878055317509,,0,0,0,0,0,-1
79,79,elonmusk,1619087980,"@ValaAfshar Very important. Most people don’t know this. Wind is also super cheap, especially when paired with batteries.",0.7178,twitter.com/elonmusk/status/1385106006141587459,,0,0,0,0,0,-1
80,80,elonmusk,1619087883,@annerajb Newest units can probably do as much as 10kW continuous &amp; double that in peak power at 30C ambient temp.… https://t.co/2iI89NVjiB,0.0,twitter.com/elonmusk/status/1385105599608672257,,0,0,0,0,0,-1
81,81,elonmusk,1619086494,"Powerwall 2 peak &amp; steady power capability is better than advertised. 

Now that we have lots of operational data,… https://t.co/qbdztDgIAf",0.4404,twitter.com/elonmusk/status/1385099771220688906,,0,0,0,0,0,-1
82,82,elonmusk,1619074269,Solar power will feed exclusively to Powerwall. Powerwall will interface only between utility meter &amp; house main br… https://t.co/0A7Ygu0dV9,0.0,twitter.com/elonmusk/status/1385048499415183360,,0,0,0,0,0,-1
83,83,elonmusk,1619072863,"Starting next week, Tesla Solar Panels &amp; Solar Roof will only be sold as an integrated product *with* Tesla Powerwall battery",0.0,twitter.com/elonmusk/status/1385042598692147204,83.0,0,0,0,0,0,-1
84,84,elonmusk,1619065385,"@wintonARK Did you buy a Powerwall? Utility permission is required for flowing electricity back to grid, but usuall… https://t.co/c9c9v5gY0H",0.0,twitter.com/elonmusk/status/1385011236270526464,,0,0,0,0,0,-1
85,85,elonmusk,1619037027,@TeslaNY Sandy Munro knows what he’s talking about,0.0,twitter.com/elonmusk/status/1384892295137333252,85.0,0,0,0,0,0,-1
86,86,elonmusk,1619036647,"RT @Commercial_Crew: Launch Update 🚀 @NASA and @SpaceX now are targeting Friday, April 23 at 5:49 a.m. ET for the launch of the Crew-2 miss…",0.0,twitter.com/elonmusk/status/1384890700085481473,,0,0,0,0,0,-1
87,87,elonmusk,1618995641,@teslaownersSV cgi irl!,0.0,twitter.com/elonmusk/status/1384718706014441475,87.0,0,0,0,0,0,-1
88,88,elonmusk,1618995072,"@PPathole @Tesla @SpaceX I could get a job, just not at an Internet company (weren’t many back then)",0.0,twitter.com/elonmusk/status/1384716322756386819,88.0,0,0,0,0,0,-1
89,89,elonmusk,1618965141,@Liv_Boeree @TheBabylonBee Haha true,0.7003,twitter.com/elonmusk/status/1384590783504818178,,0,0,0,0,0,-1
90,90,elonmusk,1618964896,@JohnnaCrider1 !!,0.0,twitter.com/elonmusk/status/1384589753236922374,,0,0,0,0,0,-1
91,91,elonmusk,1618964863,@kimpaquette New FSD rendering approach coming that better represents NN probability vector space,0.4404,twitter.com/elonmusk/status/1384589614447423493,,0,0,0,0,0,-1
92,92,elonmusk,1618962596,@kimpaquette NHTSA is great,0.6249,twitter.com/elonmusk/status/1384580105649885188,,0,0,0,0,0,-1
93,93,elonmusk,1618962421,@RenataKonkoly @GerberKawasaki Hell of a coincidence haha,-0.3818,twitter.com/elonmusk/status/1384579374607831042,,0,0,0,0,0,-1
94,94,elonmusk,1618961834,@GerberKawasaki 🤣,0.0,twitter.com/elonmusk/status/1384576909724459009,,0,0,0,0,0,-1
95,95,elonmusk,1618955465,RT @SpaceX: Falcon 9 and Dragon are looking good for flight of Crew-2 astronauts; teams are keeping an eye on launch site and downrange wea…,0.4404,twitter.com/elonmusk/status/1384550197410164738,,0,0,0,0,0,-1
96,96,elonmusk,1618906824,@WholeMarsBlog Exactly,0.0,twitter.com/elonmusk/status/1384346182399401991,,0,0,0,0,0,-1
97,97,elonmusk,1618906771,@NASA Awesome!,0.6588,twitter.com/elonmusk/status/1384345960495468548,,0,0,0,0,0,-1
98,98,elonmusk,1618884892,"@Amart15416132 @WSJ Your research as a private individual is better than professionals @WSJ! 

Data logs recovered… https://t.co/AtLNPtLDLn",0.4926,twitter.com/elonmusk/status/1384254194975010826,,0,0,0,0,0,-1
99,99,elonmusk,1618816200,@teslaownersSV @SpaceX @NASA @considercosmos Support for humanity’s future in space is super appreciated. Let’s mak… https://t.co/7RzwJJOY9C,0.872,twitter.com/elonmusk/status/1383966077344894979,99.0,0,0,0,0,0,-1
100,100,elonmusk,1618797643,@flcnhvy 🤣🤣,0.0,twitter.com/elonmusk/status/1383888245902118918,,0,0,0,0,0,-1
101,101,elonmusk,1618796478,RT @SpaceX: SpaceX and @NASA completed a full rehearsal of launch day activities with the four Crew-2 astronauts https://t.co/u0hDCTx3Zp,0.0,twitter.com/elonmusk/status/1383883358057373698,,0,0,0,0,0,-1
102,102,elonmusk,1618717536,@WholeMarsBlog Passive Autopilot (sometimes called active safety) comes standard on all Teslas,0.5423,twitter.com/elonmusk/status/1383552252871200770,102.0,0,0,0,0,0,-1
103,103,elonmusk,1618717179,"@WholeMarsBlog Essentially, passive Autopilot (car intervenes only when crash probability is high) cuts crashes in… https://t.co/PYq10ndNat",-0.4767,twitter.com/elonmusk/status/1383550753956982787,,0,0,0,0,0,-1
104,104,elonmusk,1618716723,Tesla with Autopilot engaged now approaching 10 times lower chance of accident than average vehicle https://t.co/6lGy52wVhC,-0.1531,twitter.com/elonmusk/status/1383548841438236674,104.0,0,0,0,0,0,-1
105,105,elonmusk,1618656416,Dragon spacecraft &amp; Falcon 9 rocket https://t.co/A6fsNlsN9z,0.0,twitter.com/elonmusk/status/1383295895043600384,,0,0,0,0,0,-1
106,106,elonmusk,1618653069,@WhatsupFranks Great progress by Tesla team,0.7845,twitter.com/elonmusk/status/1383281856984936450,106.0,0,0,0,0,0,-1
107,107,elonmusk,1618652794,"If we make life multiplanetary, there may come a day when some plants &amp; animals die out on Earth, but are still alive on Mars",0.2382,twitter.com/elonmusk/status/1383280704042127363,,0,0,0,0,0,-1
108,108,elonmusk,1618651005,"@neuralink @shivon Great review! Neuralink is open to working with neuroscientists to advance the field. 

Short-te… https://t.co/OH1mkMhnCO",0.6588,twitter.com/elonmusk/status/1383273199211667457,,0,0,0,0,0,-1
109,109,elonmusk,1618641468,Everything to the moon!,0.0,twitter.com/elonmusk/status/1383233200885882885,,0,0,0,0,0,-1
110,110,elonmusk,1618629408,We are honored to be part of the @NASAArtemis team,0.5859,twitter.com/elonmusk/status/1383182615411232770,,0,0,0,0,0,-1
111,111,elonmusk,1618628105,🚀🖤💫 NASA Rules!! 💫🖤🚀 https://t.co/hmeGx2peZ6,0.0,twitter.com/elonmusk/status/1383177151541743621,,0,0,0,0,0,-1
112,112,elonmusk,1618610485,👀,0.0,twitter.com/elonmusk/status/1383103246470811652,,0,0,0,0,0,-1
113,113,elonmusk,1618579523,RT @Tesla: Cybertruck at Giga Texas https://t.co/c1RuektPnN,0.0,twitter.com/elonmusk/status/1382973382375874561,113.0,0,0,0,0,0,-1
