,timestamp,price_change,close,score_change,raw_score
59,1614177000,0.18,125.18,-6.6,13.21
60,1614178800,-1.56,123.23,1.42,14.62
61,1614180600,0.37,123.68,-3.77,10.85
62,1614182400,0.52,124.32,2.36,13.21
63,1614184200,0.25,124.63,7.08,20.28
64,1614186000,0.04,124.68,-5.66,14.62
65,1614187800,0.28,125.03,5.66,20.28
66,1614189600,-0.58,124.31,4.25,24.53
67,1614191400,0.21,124.57,-8.96,15.57
68,1614193200,0.18,124.79,5.19,20.75
69,1614195000,-0.21,124.53,-3.77,16.98
70,1614196800,0.01,124.54,6.6,23.58
71,1614198600,0.28,124.89,-9.43,14.15
72,1614200400,0.39,125.38,0.94,15.09
73,1614202200,0.18,125.6,-9.91,5.19
74,1614204000,-0.36,125.15,3.77,8.96
75,1614205800,0.09,125.26,3.77,12.74
76,1614207600,0.02,125.29,-1.89,10.85
77,1614209400,-0.12,125.14,3.77,14.62
78,1614211200,0.09,125.25,2.36,16.98
79,1614213000,-0.02,125.22,0.47,17.45
80,1614243600,-0.46,124.65,-12.74,4.72
81,1614245400,-0.3,124.28,-3.3,1.42
82,1614247200,0.06,124.35,0.0,1.42
83,1614249000,0.06,124.43,3.77,5.19
84,1614250800,0.31,124.82,-4.72,0.47
85,1614252600,-0.64,124.02,5.66,6.13
86,1614254400,0.24,124.32,0.47,6.6
87,1614256200,0.27,124.65,0.47,7.08
88,1614258000,-0.34,124.22,3.3,10.38
89,1614259800,0.06,124.29,-3.77,6.6
90,1614261600,0.33,124.7,7.55,14.15
91,1614263400,-0.14,124.53,-3.77,10.38
92,1614265200,-0.17,124.32,-1.89,8.49
93,1614267000,-0.29,123.96,3.3,11.79
94,1614268800,-0.02,123.93,12.26,24.06
95,1614270600,-0.23,123.64,-0.94,23.11
96,1614272400,-0.91,122.51,-6.13,16.98
97,1614274200,-0.31,122.13,-4.72,12.26
98,1614276000,-0.48,121.54,-0.47,11.79
99,1614277800,0.39,122.02,3.77,15.57
100,1614279600,0.13,122.18,5.66,21.23
101,1614281400,0.71,123.05,1.89,23.11
102,1614283200,-0.65,122.25,-8.02,15.09
103,1614285000,-0.65,121.45,-1.89,13.21
104,1614286800,-0.23,121.17,-4.72,8.49
105,1614288600,-0.18,120.95,4.25,12.74
106,1614290400,-0.21,120.7,1.89,14.62
107,1614292200,-0.1,120.58,-7.08,7.55
108,1614294000,0.12,120.73,10.38,17.92
109,1614295800,0.13,120.89,2.36,20.28
110,1614297600,-0.36,120.45,-3.77,16.51
111,1614299400,-0.37,120.01,-1.89,14.62
112,1614330000,0.82,121.0,-12.74,1.89
113,1614331800,0.17,121.21,5.66,7.55
114,1614333600,0.3,121.57,-3.3,4.25
115,1614335400,-0.47,121.0,1.42,5.66
116,1614337200,-0.26,120.69,-2.36,3.3
117,1614339000,-0.15,120.51,1.89,5.19
118,1614340800,-0.13,120.35,5.19,10.38
119,1614342600,0.87,121.4,5.19,15.57
120,1614344400,-0.41,120.9,-2.36,13.21
121,1614346200,0.7,121.75,0.94,14.15
122,1614348000,0.71,122.61,0.94,15.09
123,1614349800,0.05,122.67,-3.3,11.79
124,1614351600,-0.68,121.84,-3.3,8.49
125,1614353400,-0.22,121.57,9.91,18.4
126,1614355200,1.69,123.62,-0.94,17.45
127,1614357000,0.02,123.64,0.47,17.92
128,1614358800,0.49,124.25,1.42,19.34
129,1614360600,-0.04,124.2,-1.42,17.92
130,1614362400,-0.59,123.47,0.47,18.4
131,1614364200,0.55,124.15,-0.94,17.45
132,1614366000,-0.74,123.23,1.42,18.87
133,1614367800,-0.03,123.19,-3.77,15.09
134,1614369600,0.5,123.8,-6.6,8.49
135,1614371400,-0.21,123.54,3.3,11.79
136,1614373200,-1.42,121.79,4.25,16.04
