timestamp,date,close,change,p_change
1614018660, 2021-02-22,389.26,-0.13,-0.000333856
1614018720, 2021-02-22,389.31,0.05,0.000128449
1614018780, 2021-02-22,389.33,0.02,5.13729E-05
1614018840, 2021-02-22,389.3,-0.03,-7.70555E-05
1614018900, 2021-02-22,389.4,0.1,0.000256871
1614018960, 2021-02-22,389.42,0.02,5.13611E-05
1614019020, 2021-02-22,389.38,-0.04,-0.000102717
1614019080, 2021-02-22,389.37,-0.01,-2.56819E-05
1614019140, 2021-02-22,389.4,0.03,7.70475E-05
1614019200, 2021-02-22,389.42,0.02,5.13611E-05
1614019260, 2021-02-22,389.39,-0.03,-7.70376E-05
1614019320, 2021-02-22,389.38,-0.01,-2.56812E-05
1614019380, 2021-02-22,389.34,-0.04,-0.000102727
1614019440, 2021-02-22,389.4,0.06,0.000154107
1614019500, 2021-02-22,389.46,0.06,0.000154083
1614019560, 2021-02-22,389.47,0.01,2.56766E-05
1614019620, 2021-02-22,389.44,-0.03,-7.70278E-05
1614019680, 2021-02-22,389.36,-0.08,-0.000205423
1614019740, 2021-02-22,389.37,0.01,2.56832E-05
1614019800, 2021-02-22,389.41,0.04,0.00010273
1614019860, 2021-02-22,389.44,0.03,7.70396E-05
1614019920, 2021-02-22,389.46,0.02,5.13558E-05
1614019980, 2021-02-22,389.39,-0.07,-0.000179736
1614020040, 2021-02-22,389.45,0.06,0.000154087
1614020100, 2021-02-22,389.51,0.06,0.000154063
1614020160, 2021-02-22,389.45,-0.06,-0.00015404
1614020220, 2021-02-22,389.44,-0.01,-2.56772E-05
1614020280, 2021-02-22,389.37,-0.07,-0.000179745
1614020340, 2021-02-22,389.39,0.02,5.1365E-05
1614020400, 2021-02-22,389.4,0.01,2.56812E-05
1614020460, 2021-02-22,389.42,0.02,5.13611E-05
1614020520, 2021-02-22,389.36,-0.06,-0.000154075
1614020580, 2021-02-22,389.35,-0.01,-2.56832E-05
1614020640, 2021-02-22,389.27,-0.08,-0.000205471
1614020700, 2021-02-22,389.32,0.05,0.000128446
1614020760, 2021-02-22,389.36,0.04,0.000102743
1614020820, 2021-02-22,389.38,0.02,5.13663E-05
1614020880, 2021-02-22,389.28,-0.1,-0.000256819
1614020940, 2021-02-22,389.21,-0.07,-0.000179819
1614021000, 2021-02-22,389.18,-0.03,-7.70792E-05
1614021060, 2021-02-22,389.15,-0.03,-7.70852E-05
1614021120, 2021-02-22,389.06,-0.09,-0.000231273
1614021180, 2021-02-22,389.08,0.02,5.1406E-05
1614021240, 2021-02-22,388.98,-0.1,-0.000257017
1614021300, 2021-02-22,389.12,0.14,0.000359916
1614021360, 2021-02-22,389.11,-0.01,-2.5699E-05
1614021420, 2021-02-22,389.24,0.13,0.000334096
1614021480, 2021-02-22,389.24,0,0
1614021540, 2021-02-22,389.19,-0.05,-0.000128455
1614021600, 2021-02-22,389.19,0,0
1614021660, 2021-02-22,389.15,-0.04,-0.000102778
1614021720, 2021-02-22,389.11,-0.04,-0.000102788
1614021780, 2021-02-22,389.1,-0.01,-2.56997E-05
1614021840, 2021-02-22,389.16,0.06,0.000154202
1614021900, 2021-02-22,389.19,0.03,7.70891E-05
1614021960, 2021-02-22,389.29,0.1,0.000256944
1614022020, 2021-02-22,389.21,-0.08,-0.000205502
1614022080, 2021-02-22,389.28,0.07,0.000179851
1614022140, 2021-02-22,389.25,-0.03,-7.70654E-05
1614022200, 2021-02-22,389.25,0,0
1614022260, 2021-02-22,389.3,0.05,0.000128452
1614022320, 2021-02-22,389.3,0,0
1614022380, 2021-02-22,389.32,0.02,5.13743E-05
1614022440, 2021-02-22,389.2,-0.12,-0.00030823
1614022500, 2021-02-22,389.19,-0.01,-2.56937E-05
1614022560, 2021-02-22,389.18,-0.01,-2.56944E-05
1614022620, 2021-02-22,389.17,-0.01,-2.56951E-05
1614022680, 2021-02-22,389.12,-0.05,-0.000128479
